fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1986,750,Administration of Justice,754,Criminal justice assistance,348959,990382,181,63.774838,0.01827574,0.018275776,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,800,General Government,801,Legislative functions,348959,990382,1383,487.296137,0.139642805,0.139643087,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,800,General Government,802,Executive direction and management,348959,990382,109,38.405842,0.011005832,0.011005854,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,800,General Government,803,Central fiscal operations,348959,990382,3625,1277.258493,0.366019645,0.366020384,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,800,General Government,804,General property and records management,348959,990382,416,146.576423,0.04200391,0.042003994,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,800,General Government,805,Central personnel management,348959,990382,126,44.395743,0.012722338,0.012722364,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,800,General Government,806,General purpose fiscal assistance,348959,990382,6431,2265.944653,0.649344093,0.649345404,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,800,General Government,808,Other general government,348959,990382,479,168.774295,0.048365079,0.048365176,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,800,General Government,809,Deductions for offsetting receipts,348959,990382,-78,-27.483079,-0.007875733,-0.007875749,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,900,Net Interest,901,Interest on Treasury debt securities (gross),348959,990382,190272,67041.800805,19.211942035,19.211980832,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,900,Net Interest,902,Interest received by on-budget trust funds,348959,990382,-26628,-9382.300453,-2.688654098,-2.688659527,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,900,Net Interest,903,Interest received by off-budget trust funds,348959,990382,-4329,-1525.310901,-0.437103184,-0.437104067,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,900,Net Interest,908,Other interest,348959,990382,-23298,-8208.984376,-2.352420879,-2.35242563,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",348959,990382,-25434,-8961.597932,-2.5680948,-2.568099986,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",348959,990382,-2857,-1006.655866,-0.288473966,-0.288474548,proportional_outlay_share,modeled_not_legal_dedication,actual
1986,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,348959,990382,-4716,-1661.669256,-0.476178937,-0.476179898,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,050,National Defense,051,Department of Defense-Military,392557,1004017,273919,107098.712454,27.282334146,27.282306973,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,050,National Defense,053,Atomic energy defense activities,392557,1004017,7451,2913.242625,0.742119647,0.742118908,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,050,National Defense,054,Defense-related activities,392557,1004017,626,244.757735,0.062349604,0.062349542,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,150,International Affairs,151,International development and humanitarian assistance,392557,1004017,4319,1688.671976,0.430172428,0.430171999,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,150,International Affairs,152,International security assistance,392557,1004017,7106,2778.35218,0.707757645,0.70775694,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,150,International Affairs,153,Conduct of foreign affairs,392557,1004017,2206,862.516874,0.219717614,0.219717395,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,150,International Affairs,154,Foreign information and exchange activities,392557,1004017,998,390.204823,0.099400806,0.099400707,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,150,International Affairs,155,International financial programs,392557,1004017,-2985,-1167.095589,-0.297306019,-0.297305723,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,250,"General Science, Space, and Technology",251,General science and basic research,392557,1004017,2243,876.983386,0.223402814,0.223402592,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",392557,1004017,6957,2720.095147,0.692917244,0.692916554,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,270,Energy,271,Energy supply,392557,1004017,2318,906.307395,0.230872815,0.230872585,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,270,Energy,272,Energy conservation,392557,1004017,281,109.86729,0.027987602,0.027987574,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,270,Energy,274,Emergency energy preparedness,392557,1004017,788,308.097596,0.078484805,0.078484727,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,270,Energy,276,"Energy information, policy, and regulation",392557,1004017,684,267.434969,0.068126404,0.068126337,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,300,Natural Resources and Environment,301,Water resources,392557,1004017,3783,1479.103053,0.376786824,0.376786449,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,300,Natural Resources and Environment,302,Conservation and land management,392557,1004017,1822,712.377944,0.181471212,0.181471031,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,300,Natural Resources and Environment,303,Recreational resources,392557,1004017,1206,471.530077,0.120117608,0.120117488,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,300,Natural Resources and Environment,304,Pollution control and abatement,392557,1004017,4869,1903.714715,0.484952431,0.484951948,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,300,Natural Resources and Environment,306,Other natural resources,392557,1004017,1675,654.902885,0.166830011,0.166829845,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,350,Agriculture,351,Farm income stabilization,392557,1004017,24697,9656.200926,2.459821357,2.459818907,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,350,Agriculture,352,Agricultural research and services,392557,1004017,1770,692.046631,0.176292011,0.176291836,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,370,Commerce and Housing Credit,371,Mortgage credit,392557,1004017,-67,-26.196115,-0.0066732,-0.006673194,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,370,Commerce and Housing Credit,372,Postal service,392557,1004017,1593,622.841968,0.15866281,0.158662652,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,370,Commerce and Housing Credit,373,Deposit insurance,392557,1004017,3106,1214.404992,0.30935762,0.309357312,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,370,Commerce and Housing Credit,376,Other advancement of commerce,392557,1004017,1802,704.558208,0.179479211,0.179479033,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,400,Transportation,401,Ground transportation,392557,1004017,17150,6705.423569,1.708140109,1.708138408,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,400,Transportation,402,Air transportation,392557,1004017,5520,2158.24712,0.549792035,0.549791488,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,400,Transportation,403,Water transportation,392557,1004017,3461,1353.205304,0.344715622,0.344715279,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,400,Transportation,407,Other transportation,392557,1004017,91,35.579799,0.009063601,0.009063592,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,450,Community and Regional Development,451,Community development,392557,1004017,3679,1438.440426,0.366428423,0.366428058,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,450,Community and Regional Development,452,Area and regional development,392557,1004017,1599,625.187888,0.15926041,0.159260252,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,450,Community and Regional Development,453,Disaster relief and insurance,392557,1004017,-229,-89.535977,-0.022808401,-0.022808379,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",392557,1004017,7869,3076.675106,0.78375245,0.78375167,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,500,"Education, Training, Employment, and Social Services",502,Higher education,392557,1004017,7357,2876.489866,0.732757247,0.732756517,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,392557,1004017,1358,530.96007,0.135256809,0.135256674,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,500,"Education, Training, Employment, and Social Services",504,Training and employment,392557,1004017,5084,1987.776876,0.506366432,0.506365928,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,500,"Education, Training, Employment, and Social Services",505,Other labor services,392557,1004017,675,263.916088,0.067230004,0.067229937,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,500,"Education, Training, Employment, and Social Services",506,Social services,392557,1004017,6572,2569.56523,0.654571242,0.65457059,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,550,Health,551,Health care services,392557,1004017,32614,12751.643398,3.248354608,3.248351373,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,550,Health,552,Health research and training,392557,1004017,6157,2407.305709,0.613237239,0.613236628,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,550,Health,554,Consumer and occupational health and safety,392557,1004017,1197,468.011196,0.119221208,0.119221089,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,570,Medicare,571,Medicare,392557,1004017,75120,29370.928192,7.481952479,7.481945027,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,600,Income Security,601,General retirement and disability insurance (excluding social security),392557,1004017,5565,2175.841525,0.554274035,0.554273483,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,600,Income Security,602,Federal employee retirement and disability,392557,1004017,43750,17105.67237,4.357500279,4.357495939,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,600,Income Security,603,Unemployment compensation,392557,1004017,17080,6678.054493,1.701168109,1.701166415,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,600,Income Security,604,Housing assistance,392557,1004017,12658,4949.110877,1.260736881,1.260735625,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,600,Income Security,605,Food and nutrition assistance,392557,1004017,18987,7423.666315,1.891105321,1.891103437,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,600,Income Security,609,Other income security,392557,1004017,26065,10191.070864,2.596074166,2.59607158,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,650,Social Security,651,Social security,392557,1004017,207352,81071.894336,20.652260522,20.652239952,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,700,Veterans Benefits and Services,701,Income security for veterans,392557,1004017,15010,5868.711823,1.494996096,1.494994607,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",392557,1004017,424,165.778402,0.042230403,0.042230361,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,392557,1004017,10266,4013.870458,1.022493665,1.022492647,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,700,Veterans Benefits and Services,704,Veterans housing,392557,1004017,344,134.499458,0.034262402,0.034262368,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,700,Veterans Benefits and Services,705,Other veterans benefits and services,392557,1004017,717,280.337533,0.071413205,0.071413133,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,750,Administration of Justice,751,Federal law enforcement activities,392557,1004017,4272,1670.295597,0.425491227,0.425490803,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,750,Administration of Justice,752,Federal litigative and judicial activities,392557,1004017,2482,970.42923,0.247207216,0.24720697,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,750,Administration of Justice,753,Federal correctional activities,392557,1004017,711,277.991613,0.070815605,0.070815534,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,750,Administration of Justice,754,Criminal justice assistance,392557,1004017,250,97.746699,0.024900002,0.024899977,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,800,General Government,801,Legislative functions,392557,1004017,1444,564.584935,0.143822409,0.143822266,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,800,General Government,802,Executive direction and management,392557,1004017,111,43.399534,0.011055601,0.01105559,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,800,General Government,803,Central fiscal operations,392557,1004017,3894,1522.502588,0.387842425,0.387842039,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,800,General Government,804,General property and records management,392557,1004017,90,35.188812,0.008964001,0.008963992,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,800,General Government,805,Central personnel management,392557,1004017,143,55.911112,0.014242801,0.014242787,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,800,General Government,806,General purpose fiscal assistance,392557,1004017,1621,633.789598,0.16145161,0.16145145,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,800,General Government,808,Other general government,392557,1004017,806,315.135358,0.080277605,0.080277525,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,800,General Government,809,Deductions for offsetting receipts,392557,1004017,-623,-243.584775,-0.062050804,-0.062050742,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,900,Net Interest,901,Interest on Treasury debt securities (gross),392557,1004017,195242,76337.044224,19.446104445,19.446085076,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,900,Net Interest,902,Interest received by on-budget trust funds,392557,1004017,-29614,-11578.683007,-2.949554589,-2.949551651,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,900,Net Interest,903,Interest received by off-budget trust funds,392557,1004017,-5290,-2068.320156,-0.526884034,-0.526883509,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,900,Net Interest,908,Other interest,392557,1004017,-21727,-8494.970139,-2.164009338,-2.164007183,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",392557,1004017,-27259,-10657.9091,-2.714996574,-2.71499387,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",392557,1004017,-3300,-1290.25643,-0.328680021,-0.328679694,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,392557,1004017,-4021,-1572.157911,-0.400491626,-0.400491227,proportional_outlay_share,modeled_not_legal_dedication,actual
1987,950,Undistributed Offsetting Receipts,954,Sale of major assets,392557,1004017,-1875,-733.100244,-0.186750012,-0.186749826,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,050,National Defense,051,Department of Defense-Military,401181,1064416,281889,106244.85483,26.483022583,26.482972823,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,050,National Defense,053,Atomic energy defense activities,401181,1064416,7913,2982.434704,0.743413747,0.74341235,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,050,National Defense,054,Defense-related activities,401181,1064416,557,209.93506,0.052329263,0.052329165,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,150,International Affairs,151,International development and humanitarian assistance,401181,1064416,4703,1772.575561,0.441839359,0.441838529,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,150,International Affairs,152,International security assistance,401181,1064416,4500,1696.064219,0.422767833,0.422767038,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,150,International Affairs,153,Conduct of foreign affairs,401181,1064416,2726,1027.438014,0.256103358,0.256102877,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,150,International Affairs,154,Foreign information and exchange activities,401181,1064416,1049,395.371415,0.098551879,0.098551694,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,150,International Affairs,155,International financial programs,401181,1064416,-2513,-947.157641,-0.236092348,-0.236091904,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,250,"General Science, Space, and Technology",251,General science and basic research,401181,1064416,2407,907.205906,0.226133816,0.226133391,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",401181,1064416,8413,3170.886284,0.790387951,0.790386465,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,270,Energy,271,Energy supply,401181,1064416,746,281.169757,0.070085512,0.07008538,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,270,Energy,272,Energy conservation,401181,1064416,342,128.900881,0.032130355,0.032130295,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,270,Energy,274,Emergency energy preparedness,401181,1064416,568,214.080995,0.053362695,0.053362595,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,270,Energy,276,"Energy information, policy, and regulation",401181,1064416,640,241.218022,0.060126981,0.060126868,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,300,Natural Resources and Environment,301,Water resources,401181,1064416,4034,1520.427347,0.378987875,0.378987163,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,300,Natural Resources and Environment,302,Conservation and land management,401181,1064416,2589,975.802281,0.243232426,0.243231969,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,300,Natural Resources and Environment,303,Recreational resources,401181,1064416,1268,477.913207,0.11912658,0.119126357,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,300,Natural Resources and Environment,304,Pollution control and abatement,401181,1064416,4832,1821.196068,0.453958704,0.453957851,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,300,Natural Resources and Environment,306,Other natural resources,401181,1064416,1878,707.824134,0.176435109,0.176434777,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,350,Agriculture,351,Farm income stabilization,401181,1064416,15223,5737.596803,1.430176604,1.430173917,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,350,Agriculture,352,Agricultural research and services,401181,1064416,1865,702.924393,0.17521378,0.17521345,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,370,Commerce and Housing Credit,371,Mortgage credit,401181,1064416,4992,1881.500574,0.468990449,0.468989568,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,370,Commerce and Housing Credit,372,Postal service,401181,1064416,2229,840.117143,0.209411,0.209410606,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,370,Commerce and Housing Credit,373,Deposit insurance,401181,1064416,10020,3776.569662,0.941363041,0.941361272,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,370,Commerce and Housing Credit,376,Other advancement of commerce,401181,1064416,1922,724.407873,0.180568839,0.1805685,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,400,Transportation,401,Ground transportation,401181,1064416,18148,6840.038545,1.704975696,1.704972492,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,400,Transportation,402,Air transportation,401181,1064416,5897,2222.597934,0.554013758,0.554012717,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,400,Transportation,403,Water transportation,401181,1064416,3111,1172.54573,0.292273495,0.292272946,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,400,Transportation,407,Other transportation,401181,1064416,116,43.720767,0.010898015,0.010897995,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,450,Community and Regional Development,451,Community development,401181,1064416,3448,1299.562095,0.323934108,0.3239335,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,450,Community and Regional Development,452,Area and regional development,401181,1064416,2075,782.074057,0.194942945,0.194942579,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,450,Community and Regional Development,453,Disaster relief and insurance,401181,1064416,-230,-86.687727,-0.021608134,-0.021608093,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",401181,1064416,8377,3157.31777,0.787005808,0.787004329,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,500,"Education, Training, Employment, and Social Services",502,Higher education,401181,1064416,8256,3111.712488,0.775638051,0.775636593,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,401181,1064416,1368,515.603523,0.128521421,0.12852118,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,500,"Education, Training, Employment, and Social Services",504,Training and employment,401181,1064416,5215,1965.549979,0.489940944,0.489940023,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,500,"Education, Training, Employment, and Social Services",505,Other labor services,401181,1064416,739,278.531435,0.069427873,0.069427743,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,500,"Education, Training, Employment, and Social Services",506,Social services,401181,1064416,6984,2632.291668,0.656135677,0.656134444,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,550,Health,551,Health care services,401181,1064416,36016,13574.544206,3.383645837,3.383639479,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,550,Health,552,Health research and training,401181,1064416,7171,2702.772559,0.673704029,0.673702763,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,550,Health,554,Consumer and occupational health and safety,401181,1064416,1285,484.32056,0.120723703,0.120723477,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,570,Medicare,571,Medicare,401181,1064416,78878,29729.367443,7.41046247,7.410448546,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,600,Income Security,601,General retirement and disability insurance (excluding social security),401181,1064416,5294,1995.325328,0.497362868,0.497361934,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,600,Income Security,602,Federal employee retirement and disability,401181,1064416,46878,17668.466328,4.404113437,4.404105162,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,600,Income Security,603,Unemployment compensation,401181,1064416,15271,5755.688154,1.434686128,1.434683432,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,600,Income Security,604,Housing assistance,401181,1064416,13909,5242.346051,1.306728397,1.306725942,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,600,Income Security,605,Food and nutrition assistance,401181,1064416,20132,7587.814414,1.891369336,1.891365782,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,600,Income Security,609,Other income security,401181,1064416,28903,10893.632029,2.715390816,2.715385714,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,650,Social Security,651,Social security,401181,1064416,219341,82670.315987,20.606737604,20.606698885,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,700,Veterans Benefits and Services,701,Income security for veterans,401181,1064416,16022,6038.742427,1.505241382,1.505238553,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",401181,1064416,424,159.80694,0.039834125,0.03983405,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,401181,1064416,10841,4086.007156,1.018494683,1.01849277,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,700,Veterans Benefits and Services,704,Veterans housing,401181,1064416,1305,491.858624,0.122602672,0.122602441,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,700,Veterans Benefits and Services,705,Other veterans benefits and services,401181,1064416,816,307.552978,0.0766619,0.076661756,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,750,Administration of Justice,751,Federal law enforcement activities,401181,1064416,5235,1973.088042,0.491819912,0.491818988,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,750,Administration of Justice,752,Federal litigative and judicial activities,401181,1064416,2880,1085.4811,0.270571413,0.270570905,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,750,Administration of Justice,753,Federal correctional activities,401181,1064416,930,350.519939,0.087372019,0.087371855,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,750,Administration of Justice,754,Criminal justice assistance,401181,1064416,352,132.669912,0.033069839,0.033069777,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,800,General Government,801,Legislative functions,401181,1064416,1599,602.668153,0.150223503,0.150223221,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,800,General Government,802,Executive direction and management,401181,1064416,123,46.359089,0.011555654,0.011555632,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,800,General Government,803,Central fiscal operations,401181,1064416,4783,1802.727814,0.449355232,0.449354388,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,800,General Government,804,General property and records management,401181,1064416,-232,-87.441533,-0.02179603,-0.02179599,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,800,General Government,805,Central personnel management,401181,1064416,113,42.590057,0.01061617,0.01061615,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,800,General Government,806,General purpose fiscal assistance,401181,1064416,1816,684.456138,0.170610308,0.170609987,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,800,General Government,808,Other general government,401181,1064416,1891,712.723875,0.177656438,0.177656104,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,800,General Government,809,Deductions for offsetting receipts,401181,1064416,-694,-261.570793,-0.065200195,-0.065200072,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,900,Net Interest,901,Interest on Treasury debt securities (gross),401181,1064416,214047,80674.990659,20.109374736,20.109336951,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,900,Net Interest,902,Interest received by on-budget trust funds,401181,1064416,-34406,-12967.730118,-3.232388901,-3.232382828,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,900,Net Interest,903,Interest received by off-budget trust funds,401181,1064416,-7416,-2795.113834,-0.696721388,-0.696720079,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,900,Net Interest,908,Other interest,401181,1064416,-20422,-7697.116331,-1.918614374,-1.918610769,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,950,Undistributed Offsetting Receipts,951,"Employer share, employee retirement (on-budget)",401181,1064416,-29037,-10944.137053,-2.727979903,-2.727974777,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",401181,1064416,-4382,-1651.589647,-0.411681921,-0.411681147,proportional_outlay_share,modeled_not_legal_dedication,actual
1988,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,401181,1064416,-3548,-1337.252411,-0.333328949,-0.333328323,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,050,National Defense,051,Department of Defense-Military,445690,1143743,294829,114888.795927,25.777736976,25.777556671,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,050,National Defense,053,Atomic energy defense activities,445690,1143743,8119,3163.807272,0.709867233,0.709862268,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,050,National Defense,054,Defense-related activities,445690,1143743,606,236.145733,0.052984301,0.052983931,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,150,International Affairs,151,International development and humanitarian assistance,445690,1143743,4836,1884.489711,0.422825217,0.42282226,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,150,International Affairs,152,International security assistance,445690,1143743,1467,571.65972,0.128263977,0.12826308,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,150,International Affairs,153,Conduct of foreign affairs,445690,1143743,2885,1124.225148,0.252243745,0.252241981,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,150,International Affairs,154,Foreign information and exchange activities,445690,1143743,1105,430.595767,0.096613289,0.096612613,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,150,International Affairs,155,International financial programs,445690,1143743,-710,-276.672394,-0.062077317,-0.062076883,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,250,"General Science, Space, and Technology",251,General science and basic research,445690,1143743,2626,1023.298177,0.22959864,0.229597034,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",445690,1143743,10196,3973.171443,0.891465243,0.891459008,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,270,Energy,271,Energy supply,445690,1143743,1230,479.305696,0.107542394,0.107541642,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,270,Energy,272,Energy conservation,445690,1143743,333,129.763249,0.029115136,0.029114932,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,270,Energy,274,Emergency energy preparedness,445690,1143743,621,241.990924,0.054295794,0.054295414,proportional_outlay_share,modeled_not_legal_dedication,actual
1989,270,Energy,276,"Energy information, policy, and regulation",445690,1143743,521,203.022982,0.04555251,0.045552191,proportional_outlay_share,modeled_not_legal_dedication,actual
