fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1962,950,Undistributed Offsetting Receipts,952,"Employer share, employee retirement (off-budget)",45571,106821,-221,-94.28012,-0.206886222,-0.206888159,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,950,Undistributed Offsetting Receipts,953,Rents and royalties on the Outer Continental Shelf,45571,106821,-12,-5.119283,-0.011233641,-0.011233746,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,050,National Defense,051,Department of Defense-Military,47588,111316,51147,21864.941618,45.946334408,45.947572676,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,050,National Defense,053,Atomic energy defense activities,47588,111316,2041,872.511503,1.833469578,1.833518991,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,050,National Defense,054,Defense-related activities,47588,111316,212,90.628338,0.19044368,0.190448812,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,150,International Affairs,151,International development and humanitarian assistance,47588,111316,3079,1316.248367,2.765924954,2.765999497,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,150,International Affairs,152,International security assistance,47588,111316,2185,934.070374,1.96282755,1.962880448,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,150,International Affairs,153,Conduct of foreign affairs,47588,111316,346,147.912288,0.310818459,0.310826835,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,150,International Affairs,154,Foreign information and exchange activities,47588,111316,201,85.925925,0.180562168,0.180567034,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,150,International Affairs,155,International financial programs,47588,111316,-503,-215.028558,-0.45185458,-0.451866758,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,250,"General Science, Space, and Technology",251,General science and basic research,47588,111316,534,228.280815,0.479702477,0.479715405,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",47588,111316,2516,1075.57028,2.26017122,2.260232132,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,270,Energy,271,Energy supply,47588,111316,451,192.798965,0.405141979,0.405152898,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,270,Energy,276,"Energy information, policy, and regulation",47588,111316,80,34.199373,0.07186554,0.071867476,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,300,Natural Resources and Environment,301,Water resources,47588,111316,1448,619.008651,1.300766266,1.300801322,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,300,Natural Resources and Environment,302,Conservation and land management,47588,111316,357,152.614702,0.32069997,0.320708613,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,300,Natural Resources and Environment,303,Recreational resources,47588,111316,148,63.26884,0.132951248,0.132954831,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,300,Natural Resources and Environment,304,Pollution control and abatement,47588,111316,87,37.191818,0.078153774,0.078155881,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,300,Natural Resources and Environment,306,Other natural resources,47588,111316,212,90.628338,0.19044368,0.190448812,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,350,Agriculture,351,Farm income stabilization,47588,111316,4047,1730.06078,3.635497983,3.635595961,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,350,Agriculture,352,Agricultural research and services,47588,111316,337,144.064859,0.302733585,0.302741744,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,370,Commerce and Housing Credit,371,Mortgage credit,47588,111316,-592,-253.07536,-0.531804993,-0.531819325,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,370,Commerce and Housing Credit,372,Postal service,47588,111316,770,329.168965,0.691705818,0.69172446,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,370,Commerce and Housing Credit,373,Deposit insurance,47588,111316,-423,-180.829185,-0.379989041,-0.379999281,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,370,Commerce and Housing Credit,376,Other advancement of commerce,47588,111316,307,131.240094,0.275784008,0.275791441,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,400,Transportation,401,Ground transportation,47588,111316,3090,1320.950781,2.775806466,2.775881275,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,400,Transportation,402,Air transportation,47588,111316,851,363.79583,0.764469677,0.76449028,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,400,Transportation,403,Water transportation,47588,111316,655,280.007366,0.588399105,0.588414963,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,450,Community and Regional Development,451,Community development,47588,111316,233,99.605674,0.209308384,0.209314025,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,450,Community and Regional Development,452,Area and regional development,47588,111316,307,131.240094,0.275784008,0.275791441,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,450,Community and Regional Development,453,Disaster relief and insurance,47588,111316,34,14.534734,0.030542854,0.030543677,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",47588,111316,553,236.403166,0.496770542,0.49678393,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,500,"Education, Training, Employment, and Social Services",502,Higher education,47588,111316,426,182.111661,0.382683998,0.382694312,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,47588,111316,55,23.512069,0.049407558,0.04940889,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,500,"Education, Training, Employment, and Social Services",504,Training and employment,47588,111316,203,86.780909,0.182358807,0.182363721,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,500,"Education, Training, Employment, and Social Services",505,Other labor services,47588,111316,84,35.909342,0.075458817,0.07546085,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,500,"Education, Training, Employment, and Social Services",506,Social services,47588,111316,137,58.566426,0.123069737,0.123073053,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,550,Health,551,Health care services,47588,111316,623,266.327617,0.559652889,0.559667972,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,550,Health,552,Health research and training,47588,111316,722,308.649341,0.648586495,0.648603974,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,550,Health,554,Consumer and occupational health and safety,47588,111316,106,45.314169,0.09522184,0.095224406,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,600,Income Security,601,General retirement and disability insurance (excluding social security),47588,111316,632,270.175046,0.567737763,0.567753063,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,600,Income Security,602,Federal employee retirement and disability,47588,111316,2233,954.589998,2.005946873,2.006000934,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,600,Income Security,603,Unemployment compensation,47588,111316,3344,1429.53379,3.003979554,3.004060512,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,600,Income Security,604,Housing assistance,47588,111316,179,76.521097,0.160799145,0.160803478,proportional_outlay_share,modeled_not_legal_dedication,actual
1963,600,Income Security,605,Food and nutrition assistance,47588,111316,284,121.407774,0.255122665,0.255129541,proportional_outlay_share,modeled_not_legal_dedication,actual
