date,variable,value
FY2032,tf_sur_other,4.491
FY2032,tf_sur_other,2.407
FY2033,tf_sur_other,4.643999999999999
FY2033,tf_sur_other,2.667
FY2034,tf_sur_other,4.844
FY2034,tf_sur_other,2.734
FY2035,tf_sur_other,4.946999999999999
FY2035,tf_sur_other,2.807
FY2036,tf_sur_other,5.156
FY2036,tf_sur_other,45.684999999999995
FY2036,tf_sur_other,2.884
FY2036,tf_sur_other,18.928
FY2025,tf_sur_smi,-10.568217999999945
FY2026,tf_sur_smi,13.972
FY2027,tf_sur_smi,22.543
FY2028,tf_sur_smi,-1.851
FY2029,tf_sur_smi,28.565
FY2030,tf_sur_smi,18.345
FY2031,tf_sur_smi,21.732
FY2031,tf_sur_smi,89.334
FY2032,tf_sur_smi,27.078
FY2033,tf_sur_smi,-6.28
FY2034,tf_sur_smi,17.111
FY2035,tf_sur_smi,58.63
FY2036,tf_sur_smi,41.344
FY2036,tf_sur_smi,227.217
FY2025,tf_sur_ss_total,-144.026
FY2026,tf_sur_ss_total,-165.723
FY2027,tf_sur_ss_total,-216.85699999999997
FY2028,tf_sur_ss_total,-266.584
FY2029,tf_sur_ss_total,-310.469
FY2030,tf_sur_ss_total,-355.492
FY2031,tf_sur_ss_total,-404.475
FY2031,tf_sur_ss_total,-1553.877
FY2032,tf_sur_ss_total,-459.97099999999995
FY2033,tf_sur_ss_total,-499.08500000000004
FY2034,tf_sur_ss_total,-536.6400000000001
FY2035,tf_sur_ss_total,-572.807
FY2036,tf_sur_ss_total,-607.655
FY2036,tf_sur_ss_total,-4230.035
FY2025,tf_sur_total,85.003
FY2026,tf_sur_total,99.52699999999999
FY2027,tf_sur_total,-102.45299999999995
FY2028,tf_sur_total,-214.56300000000002
FY2029,tf_sur_total,-182.22199999999998
FY2030,tf_sur_total,-246.338
FY2031,tf_sur_total,-293.63200000000006
FY2031,tf_sur_total,-1039.208
FY2032,tf_sur_total,-345.58299999999997
FY2033,tf_sur_total,-473.6750000000001
FY2034,tf_sur_total,-460.1010000000001
FY2035,tf_sur_total,-416.566
FY2036,tf_sur_total,-514.178
FY2036,tf_sur_total,-3249.311
FY2025,tf_sur_unemployment,15.275000000000006
FY2026,tf_sur_unemployment,3.883
FY2027,tf_sur_unemployment,-2.285
FY2028,tf_sur_unemployment,-6.162
FY2029,tf_sur_unemployment,-16.326
FY2030,tf_sur_unemployment,4.78
FY2031,tf_sur_unemployment,5.409
FY2031,tf_sur_unemployment,-14.584
FY2032,tf_sur_unemployment,5.976
FY2033,tf_sur_unemployment,6.116
FY2034,tf_sur_unemployment,6.117
FY2035,tf_sur_unemployment,6.891
FY2036,tf_sur_unemployment,8.015
FY2036,tf_sur_unemployment,18.531
